"PD_id","price"
458,"16590000"
460,"5990000"
468,"7690000"
469,"14990000"
480,"5590000"
491,"16990000"
507,"9990000"
510,"12890000"
518,"29190000"
521,"11490000"
522,"10690000"
530,"24990000"
532,"10690000"
536,"18990000"
540,"36990000"
543,"10990000"
544,"11990000"
554,"10140000"
558,"7990000"
566,"15390000"
567,"30990000"
569,"20490000"
573,"24590000"
574,"45990000"
576,"9490000"
577,"5190000"
584,"17990000"
588,"12990000"
589,"11990000"
600,"9890000"
601,"27490000"
602,"26450000"
603,"26450000"
612,"59990000"
624,"9790000"
628,"21900000"
634,"16790000"
641,"21140000"
649,"11890000"
653,"9290000"
659,"17990000"
663,"20990000"
664,"37990000"
665,"12490000"
666,"11490000"
446,"6190000"
448,"5290000"
449,"5990000"
452,"13490000"
454,"15990000"
457,"6490000"
459,"6790000"
463,"7990000"
467,"6490000"
471,"14990000"
474,"3590000"
475,"5190000"
490,"12890000"
495,"8740000"
497,"9890000"
499,"14490000"
500,"14980000"
505,"6090000"
512,"21490000"
514,"15290000"
517,"13790000"
523,"11990000"
526,"29990000"
531,"35990000"
535,"17990000"
537,"30990000"
541,"26990000"
542,"14690000"
546,"7590000"
549,"6490000"
551,"5540000"
553,"6990000"
555,"8490000"
556,"35490000"
565,"12990000"
571,"5390000"
575,"28990000"
578,"43990000"
579,"15980000"
581,"46990000"
582,"10990000"
583,"42490000"
587,"26990000"
590,"10990000"
592,"14390000"
593,"15990000"
594,"16990000"
607,"11990000"
620,"23290000"
621,"6990000"
622,"12690000"
623,"18690000"
630,"28990000"
631,"4490000"
636,"14800000"
645,"6290000"
647,"15290000"
650,"18090000"
655,"120000000"
656,"94990000"
657,"42990000"
660,"26090000"
662,"11590000"
667,"25990000"
444,"6390000"
445,"4990000"
450,"8990000"
461,"3290000"
462,"18990000"
465,"3690000"
466,"5690000"
470,"2790000"
472,"18490000"
473,"9990000"
476,"9590000"
478,"19990000"
479,"14390000"
481,"17990000"
483,"11490000"
486,"15980000"
493,"8290000"
494,"11490000"
496,"11290000"
498,"15390000"
501,"20400000"
502,"19990000"
504,"9890000"
508,"17390000"
509,"20590000"
511,"11490000"
515,"6690000"
519,"13790000"
525,"6640000"
528,"12990000"
529,"11990000"
538,"33690000"
539,"5490000"
548,"13790000"
557,"6590000"
560,"19390000"
561,"32990000"
562,"4590000"
564,"10390000"
568,"42990000"
570,"7090000"
580,"22990000"
585,"25990000"
586,"9190000"
591,"6240000"
596,"18450000"
604,"6490000"
608,"11490000"
609,"21940000"
610,"30480000"
611,"15490000"
613,"6890000"
614,"26990000"
616,"28990000"
619,"7390000"
625,"9090000"
626,"13390000"
632,"12890000"
633,"19990000"
635,"16800000"
637,"18990000"
638,"119990000"
642,"42990000"
646,"10590000"
654,"14990000"
658,"11490000"
661,"36490000"
1003,"1790000"
999,"1490000"
1000,"1690000"
1002,"1290000"
1004,"1890000"
1008,"1290000"
1009,"1290000"
996,"1290000"
998,"1490000"
1001,"1690000"
1005,"1590000"
995,"1190000"
997,"1779000"
1006,"990000"
1007,"2690000"
1022,"5600000"
1026,"23640000"
1032,"3370000"
1037,"4050000"
1010,"3990000"
1020,"6940000"
1023,"5790000"
1029,"3990000"
1031,"7610000"
1034,"7480000"
1036,"10450000"
1038,"3820000"
1012,"4990000"
1013,"5490000"
1014,"16990000"
1015,"8090000"
1017,"2990000"
1021,"12070000"
1024,"13790000"
1025,"10820000"
1028,"4070000"
1040,"4230000"
1011,"3790000"
1016,"9990000"
1018,"24900000"
1019,"5690000"
1027,"5360000"
1030,"9930000"
1033,"7570000"
1035,"7870000"
1039,"9360000"
211,"8300000"
219,"14490000"
221,"11090000"
229,"9900000"
236,"9990000"
239,"8990000"
241,"14890000"
242,"3990000"
244,"13400000"
246,"8990000"
249,"18890000"
255,"12390000"
260,"8890000"
263,"8990000"
276,"10150000"
278,"5790000"
279,"13890000"
282,"17400000"
290,"26590000"
292,"12990000"
294,"6490000"
296,"28490000"
297,"14390000"
299,"21900000"
300,"25400000"
302,"16390000"
306,"21490000"
311,"11900000"
315,"38200000"
317,"8990000"
329,"5090000"
340,"19990000"
343,"39900000"
344,"37290000"
355,"42990000"
365,"57610000"
367,"22890000"
369,"56900000"
372,"73900000"
373,"49900000"
375,"14890000"
377,"20990000"
378,"36900000"
384,"26890000"
389,"35890000"
390,"99890000"
395,"31900000"
397,"18900000"
412,"42890000"
