"PD_id","price","rating"
904,"7840000","4"
913,"23890000","5"
919,"9990000","0"
924,"8490000","4"
927,"30590000","4"
931,"15490000","5"
932,"9790000","4"
933,"9990000","4"
934,"21490000","0"
939,"10590000","4"
940,"32390000","0"
942,"10490000","2"
948,"54990000","0"
949,"54990000","0"
951,"25000000","0"
954,"27490000","0"
955,"13990000","5"
957,"36790000","0"
960,"50790000","0"
961,"32490000","0"
962,"13240000","4"
963,"26790000","0"
968,"26590000","0"
972,"19590000","0"
973,"23890000","0"
978,"8740000","4"
982,"32390000","0"
989,"1090000","4"
985,"1280000","4"
986,"520000","4"
988,"550000","4"
991,"1390000","4"
987,"1990000","4"
992,"420000","4"
993,"2491000","4"
994,"3490000","4"
990,"1090000","4"
748,"7290000","4"
750,"8490000","4"
752,"5390000","4"
754,"3690000","4"
759,"10590000","4"
762,"9190000","4"
764,"12490000","5"
766,"9790000","4"
768,"28190000","4"
772,"7890000","5"
773,"5650000","4"
774,"22800000","4"
775,"9590000","4"
776,"13190000","4"
779,"8990000","4"
786,"8990000","5"
790,"7990000","0"
794,"10690000","4"
801,"4790000","5"
804,"8290000","4"
805,"31190000","5"
807,"11290000","4"
808,"9790000","0"
809,"37990000","4"
810,"29990000","0"
814,"8990000","0"
818,"30590000","0"
820,"8500000","0"
824,"9690000","0"
829,"11390000","0"
837,"11090000","0"
841,"9800000","0"
843,"8400000","0"
747,"6190000","4"
753,"4790000","4"
756,"9590000","4"
757,"12390000","4"
758,"10490000","5"
765,"12090000","4"
767,"15490000","4"
781,"10100000","4"
783,"10490000","0"
784,"12490000","5"
788,"7990000","4"
792,"12690000","4"
793,"20990000","0"
795,"18190000","0"
812,"11890000","4"
819,"12990000","0"
823,"14090000","0"
832,"10590000","0"
834,"8290000","0"
842,"10700000","0"
844,"8900000","0"
745,"5990000","4"
749,"4490000","4"
763,"5490000","0"
769,"7990000","0"
771,"5990000","0"
778,"8990000","4"
780,"8390000","4"
782,"23590000","5"
789,"9590000","0"
791,"11690000","4"
796,"12990000","5"
797,"4990000","4"
800,"9990000","4"
802,"5990000","5"
803,"7370000","4"
806,"9350000","0"
813,"13190000","4"
816,"8890000","0"
817,"5690000","0"
821,"11090000","4"
825,"10290000","0"
831,"9090000","0"
833,"7590000","0"
835,"29690000","0"
838,"7890000","4"
840,"5990000","0"
746,"3590000","4"
751,"9390000","4"
755,"7990000","4"
760,"13890000","4"
761,"18290000","4"
770,"10990000","0"
777,"6890000","3"
785,"14490000","0"
787,"15290000","5"
798,"8690000","0"
799,"8990000","0"
811,"23790000","4"
815,"11490000","0"
822,"7190000","0"
826,"32990000","0"
827,"27490000","0"
828,"12890000","3"
830,"4190000","5"
836,"7690000","0"
839,"12290000","0"
455,"10490000","4"
464,"12690000","4"
477,"8990000","4"
482,"12990000","4"
484,"13490000","4"
485,"9190000","5"
487,"8190000","4"
488,"20490000","4"
489,"3090000","4"
492,"9900000","4"
503,"20490000","4"
506,"16990000","5"
513,"17990000","5"
516,"18390000","5"
520,"14590000","5"
524,"16990000","4"
527,"17690000","5"
533,"10490000","4"
534,"46990000","5"
545,"31990000","0"
547,"25290000","4"
550,"16290000","5"
552,"10990000","5"
559,"15790000","4"
563,"20990000","5"
572,"11290000","4"
595,"6590000","4"
597,"5490000","4"
598,"31990000","4"
599,"5790000","3"
605,"62990000","5"
606,"61900000","0"
615,"74990000","0"
617,"14840000","0"
618,"10490000","0"
627,"12090000","5"
629,"24490000","5"
639,"12090000","0"
640,"16990000","0"
643,"12690000","3"
644,"45990000","5"
648,"15490000","5"
651,"11990000","4"
652,"4890000","4"
443,"4590000","4"
447,"7290000","4"
451,"8390000","5"
453,"11490000","4"
456,"8990000","5"
458,"16590000","5"
460,"5990000","4"
468,"7690000","4"
469,"14990000","4"
480,"5590000","4"
491,"16990000","0"
507,"9990000","4"
510,"12890000","5"
518,"29190000","4"
521,"11490000","4"
522,"10690000","4"
530,"24990000","0"
532,"10690000","5"
536,"18990000","4"
540,"36990000","4"
543,"10990000","4"
544,"11990000","4"
554,"10140000","4"
558,"7990000","0"
566,"15390000","5"
567,"30990000","4"
569,"20490000","4"
573,"24590000","4"
574,"45990000","5"
576,"9490000","0"
577,"5190000","4"
584,"17990000","0"
588,"12990000","0"
589,"11990000","0"
600,"9890000","5"
601,"27490000","5"
602,"26450000","4"
603,"26450000","5"
612,"59990000","5"
624,"9790000","3"
628,"21900000","4"
634,"16790000","0"
641,"21140000","0"
649,"11890000","4"
653,"9290000","3"
659,"17990000","0"
663,"20990000","4"
664,"37990000","0"
665,"12490000","0"
666,"11490000","0"
446,"6190000","5"
448,"5290000","4"
449,"5990000","4"
452,"13490000","5"
454,"15990000","4"
457,"6490000","4"
459,"6790000","5"
463,"7990000","4"
467,"6490000","4"
471,"14990000","5"
